nu/nu_c,j_nu,j_nu_fit,alpha_nu,alpha_nu_fit
1.000000e+00,3.026880e-23,3.086951e-23,4.843990e-14,4.999235e-14
1.258925e+00,3.282761e-23,3.329032e-23,3.318543e-14,3.399667e-14
1.584893e+00,3.557462e-23,3.589554e-23,2.271266e-14,2.311388e-14
1.995262e+00,3.852178e-23,3.869809e-23,1.552970e-14,1.571091e-14
2.511886e+00,4.168298e-23,4.171155e-23,1.060816e-14,1.067601e-14
3.162278e+00,4.507547e-23,4.495014e-23,7.240041e-15,7.252390e-15
3.981072e+00,4.871448e-23,4.842869e-23,4.937029e-15,4.924952e-15
5.011872e+00,5.261880e-23,5.216259e-23,3.363934e-15,3.343131e-15
6.309573e+00,5.680660e-23,5.616769e-23,2.290337e-15,2.268377e-15
7.943282e+00,6.129684e-23,6.046024e-23,1.558218e-15,1.538386e-15
1.000000e+01,6.610864e-23,6.505670e-23,1.059329e-15,1.042745e-15
1.258925e+01,7.126146e-23,6.997357e-23,7.196093e-16,7.063606e-16
1.584893e+01,7.677419e-23,7.522720e-23,4.884271e-16,4.781662e-16
1.995262e+01,8.266494e-23,8.083344e-23,3.312262e-16,3.234454e-16
2.511886e+01,8.895228e-23,8.680736e-23,2.244067e-16,2.186022e-16
3.162278e+01,9.565219e-23,9.316276e-23,1.518776e-16,1.476035e-16
3.981072e+01,1.027788e-22,9.991170e-23,1.026728e-16,9.955897e-17
5.011872e+01,1.103439e-22,1.070639e-22,6.932016e-17,6.707386e-17
6.309573e+01,1.183540e-22,1.146260e-22,4.673507e-17,4.512919e-17
7.943282e+01,1.268120e-22,1.226007e-22,3.145828e-17,3.032000e-17
1.000000e+02,1.357159e-22,1.309859e-22,2.113775e-17,2.033751e-17
1.258925e+02,1.450554e-22,1.397738e-22,1.417514e-17,1.361714e-17
1.584893e+02,1.548100e-22,1.489493e-22,9.485051e-18,9.099308e-18
1.995262e+02,1.649512e-22,1.584890e-22,6.331251e-18,6.066974e-18
2.511886e+02,1.754385e-22,1.683600e-22,4.214742e-18,4.035298e-18
3.162278e+02,1.862180e-22,1.785181e-22,2.797363e-18,2.676751e-18
3.981072e+02,1.972174e-22,1.889070e-22,1.850537e-18,1.770310e-18
5.011872e+02,2.083613e-22,1.994562e-22,1.219766e-18,1.166998e-18
6.309573e+02,2.195313e-22,2.100807e-22,8.008182e-19,7.665327e-19
7.943282e+02,2.306251e-22,2.206796e-22,5.234993e-19,5.015126e-19
1.000000e+03,2.414965e-22,2.311359e-22,3.406059e-19,3.267117e-19
1.258925e+03,2.519939e-22,2.413166e-22,2.204880e-19,2.118415e-19
