nu/nu_c,j_nu,alpha_nu
1.000000e+00,6.085771e-23,2.932882e-13
1.258925e+00,6.614470e-23,2.012566e-13
1.584893e+00,7.178400e-23,1.378132e-13
1.995262e+00,7.780002e-23,9.419712e-14
2.511886e+00,8.422314e-23,6.430208e-14
3.162278e+00,9.105058e-23,4.381450e-14
3.981072e+00,9.829474e-23,2.980259e-14
5.011872e+00,1.059612e-22,2.023193e-14
6.309573e+00,1.140564e-22,1.370630e-14
7.943282e+00,1.225831e-22,9.265154e-15
1.000000e+01,1.315370e-22,6.248446e-15
1.258925e+01,1.409149e-22,4.203768e-15
1.584893e+01,1.506952e-22,2.820835e-15
1.995262e+01,1.608566e-22,1.887631e-15
2.511886e+01,1.713640e-22,1.259448e-15
3.162278e+01,1.821703e-22,8.376856e-16
3.981072e+01,1.932152e-22,5.552788e-16
5.011872e+01,2.044167e-22,3.667307e-16
6.309573e+01,2.156799e-22,2.412428e-16
7.943282e+01,2.268897e-22,1.580094e-16
1.000000e+02,2.379162e-22,1.030097e-16
1.258925e+02,2.486100e-22,6.681620e-17
1.584893e+02,2.588102e-22,4.310484e-17
1.995262e+02,2.683346e-22,2.764526e-17
2.511886e+02,2.770078e-22,1.762036e-17
3.162278e+02,2.846402e-22,1.115648e-17
3.981072e+02,2.910418e-22,7.013993e-18
5.011872e+02,2.960386e-22,4.376915e-18
6.309573e+02,2.994776e-22,2.710108e-18
7.943282e+02,3.012133e-22,1.664317e-18
1.000000e+03,3.011497e-22,1.013392e-18
1.258925e+03,2.992140e-22,6.116118e-19
1.584893e+03,2.953856e-22,3.657632e-19
1.995262e+03,2.896893e-22,2.166923e-19
2.511886e+03,2.821910e-22,1.271521e-19
3.162278e+03,2.730149e-22,7.388822e-20
3.981072e+03,2.623141e-22,4.251402e-20
5.011872e+03,2.502903e-22,2.422043e-20
6.309573e+03,2.371705e-22,1.366278e-20
7.943282e+03,2.231906e-22,7.630867e-21
1.000000e+04,2.086086e-22,4.220408e-21
1.258925e+04,1.936850e-22,2.311990e-21
1.584893e+04,1.786576e-22,1.254508e-21
1.995262e+04,1.637572e-22,6.745488e-22
2.511886e+04,1.491774e-22,3.594369e-22
3.162278e+04,1.351028e-22,1.899082e-22
3.981072e+04,1.216599e-22,9.950619e-23
5.011872e+04,1.089799e-22,5.173212e-23
6.309573e+04,9.711559e-23,2.669051e-23
7.943282e+04,8.613884e-23,1.367650e-23
1.000000e+05,7.605511e-23,6.960533e-24
1.258925e+05,6.686421e-23,3.519733e-24
1.584893e+05,5.855630e-23,1.769761e-24
1.995262e+05,5.109922e-23,8.849458e-25
2.511886e+05,4.444099e-23,4.404179e-25
3.162278e+05,3.852396e-23,2.180496e-25
3.981072e+05,3.330914e-23,1.075337e-25
5.011872e+05,2.871863e-23,5.283132e-26
6.309573e+05,2.469866e-23,2.585696e-26
7.943282e+05,2.119635e-23,1.261311e-26
1.000000e+06,1.815129e-23,6.133946e-27
1.258925e+06,1.553064e-23,2.974153e-27
1.584893e+06,1.325965e-23,1.439306e-27
1.995262e+06,1.130271e-23,6.947549e-28
2.511886e+06,9.620397e-24,3.345740e-28
3.162278e+06,8.180381e-24,1.609078e-28
3.981072e+06,6.947986e-24,7.724119e-29
5.011872e+06,5.895599e-24,3.702708e-29
6.309573e+06,4.997755e-24,1.772197e-29
7.943282e+06,4.233233e-24,8.471895e-30
1.000000e+07,3.583407e-24,4.045784e-30
1.258925e+07,3.031314e-24,1.930164e-30
1.584893e+07,2.562865e-24,9.200617e-31
1.995262e+07,2.164482e-24,4.376838e-31
2.511886e+07,1.829136e-24,2.085837e-31
3.162278e+07,1.544230e-24,9.920863e-32
3.981072e+07,1.303242e-24,4.715996e-32
5.011872e+07,1.098797e-24,2.240773e-32
6.309573e+07,9.273624e-25,1.064204e-32
7.943282e+07,7.818210e-25,5.052611e-33
1.000000e+08,6.584375e-25,2.397716e-33
1.258925e+08,5.545973e-25,1.135750e-33
1.584893e+08,4.668122e-25,5.393343e-34
1.995262e+08,3.920248e-25,2.552968e-34
2.511886e+08,3.281666e-25,1.210753e-34
3.162278e+08,2.799378e-25,5.745808e-35
3.981072e+08,2.356319e-25,2.719312e-35
5.011872e+08,1.985513e-25,1.290101e-35
6.309573e+08,1.670853e-25,6.103111e-36
7.943282e+08,1.406861e-25,2.895250e-36
1.000000e+09,1.185316e-25,1.371538e-36
