nu/nu_c,j_nu,alpha_nu
1.000000e+00,4.207070e-24,2.545937e-16
1.258925e+00,4.544838e-24,1.735464e-16
1.584893e+00,4.909375e-24,1.182901e-16
1.995262e+00,5.302829e-24,8.062149e-17
2.511886e+00,5.727526e-24,5.494486e-17
3.162278e+00,6.185954e-24,3.744391e-17
3.981072e+00,6.680823e-24,2.551618e-17
5.011872e+00,7.215014e-24,1.738735e-17
6.309573e+00,7.791689e-24,1.184773e-17
7.943282e+00,8.414245e-24,8.072790e-18
1.000000e+01,9.086330e-24,5.500488e-18
1.258925e+01,9.811862e-24,3.747713e-18
1.584893e+01,1.049321e-23,2.553412e-18
1.995262e+01,1.144066e-23,1.739663e-18
2.511886e+01,1.235355e-23,1.185224e-18
3.162278e+01,1.333888e-23,8.074743e-19
3.981072e+01,1.440254e-23,5.500968e-19
5.011872e+01,1.555081e-23,3.747527e-19
6.309573e+01,1.679030e-23,2.552943e-19
7.943282e+01,1.812832e-23,1.739114e-19
1.000000e+02,1.957235e-23,1.184673e-19
1.258925e+02,2.113088e-23,8.069655e-20
1.584893e+02,2.281274e-23,5.496620e-20
1.995262e+02,2.462781e-23,3.743830e-20
2.511886e+02,2.658630e-23,2.549875e-20
3.162278e+02,2.869927e-23,1.736590e-20
3.981072e+02,3.097859e-23,1.182629e-20
5.011872e+02,3.343706e-23,8.053147e-21
6.309573e+02,3.608830e-23,5.483384e-21
7.943282e+02,3.894675e-23,3.733279e-21
1.000000e+03,4.202801e-23,2.541448e-21
1.258925e+03,4.534856e-23,1.729894e-21
1.584893e+03,4.892561e-23,1.177311e-21
1.995262e+03,5.277783e-23,8.011058e-22
2.511886e+03,5.692404e-23,5.450039e-22
3.162278e+03,6.138544e-23,3.706901e-22
3.981072e+03,6.618236e-23,2.520609e-22
5.011872e+03,7.133696e-23,1.713437e-22
6.309573e+03,7.687154e-23,1.164331e-22
7.943282e+03,8.280886e-23,7.908750e-23
1.000000e+04,8.917171e-23,5.369522e-23
1.258925e+04,9.598255e-23,3.643595e-23
1.584893e+04,1.032628e-22,2.470897e-23
1.995262e+04,1.110328e-22,1.674449e-23
2.511886e+04,1.193105e-22,1.133801e-23
3.162278e+04,1.281106e-22,7.670071e-24
3.981072e+04,1.374444e-22,5.183284e-24
5.011872e+04,1.473166e-22,3.498558e-24
6.309573e+04,1.577250e-22,2.358196e-24
7.943282e+04,1.686591e-22,1.587083e-24
1.000000e+05,1.800956e-22,1.066243e-24
1.258925e+05,1.920029e-22,7.149197e-25
1.584893e+05,2.043276e-22,4.782890e-25
1.995262e+05,2.170035e-22,3.191844e-25
2.511886e+05,2.299393e-22,2.124082e-25
3.162278e+05,2.430223e-22,1.409120e-25
3.981072e+05,2.561102e-22,9.315565e-26
5.011872e+05,2.690235e-22,6.134495e-26
6.309573e+05,2.815209e-22,4.022152e-26
7.943282e+05,2.932816e-22,2.624417e-26
1.000000e+06,3.038386e-22,1.702663e-26
1.258925e+06,3.152598e-22,1.100426e-26
1.584893e+06,3.241193e-22,7.059719e-27
1.995262e+06,3.313535e-22,4.498448e-27
2.511886e+06,3.366749e-22,2.845363e-27
3.162278e+06,3.397938e-22,1.785338e-27
3.981072e+06,3.404803e-22,1.110624e-27
5.011872e+06,3.385415e-22,6.845511e-28
6.309573e+06,3.338230e-22,4.177752e-28
7.943282e+06,3.262562e-22,2.522772e-28
1.000000e+07,3.158340e-22,1.506187e-28
1.258925e+07,3.027441e-22,8.886734e-29
1.584893e+07,2.870831e-22,5.177855e-29
1.995262e+07,2.692505e-22,2.977298e-29
2.511886e+07,2.496132e-22,1.688619e-29
3.162278e+07,2.286172e-22,9.439823e-30
3.981072e+07,2.067617e-22,5.198613e-30
5.011872e+07,1.845458e-22,2.818174e-30
6.309573e+07,1.625546e-22,1.504583e-30
7.943282e+07,1.412481e-22,7.900713e-31
1.000000e+08,1.210252e-22,4.078163e-31
1.258925e+08,1.022503e-22,2.070865e-31
1.584893e+08,8.518359e-23,1.034710e-31
1.995262e+08,6.992043e-23,5.073122e-32
2.511886e+08,5.657502e-23,2.449663e-32
3.162278e+08,4.517710e-23,1.161975e-32
3.981072e+08,3.555758e-23,5.412466e-33
5.011872e+08,2.762785e-23,2.485925e-33
6.309573e+08,2.113898e-23,1.120008e-33
7.943282e+08,1.597977e-23,4.984091e-34
1.000000e+09,1.194706e-23,2.180852e-34
