nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.134241e-24,5.535085e-17
1.258925e+00,2.305111e-24,3.772261e-17
1.584893e+00,2.489564e-24,2.570736e-17
1.995262e+00,2.688687e-24,1.751843e-17
2.511886e+00,2.903652e-24,1.193761e-17
3.162278e+00,3.135734e-24,8.134402e-18
3.981072e+00,3.386288e-24,5.542715e-18
5.011872e+00,3.656793e-24,3.776678e-18
6.309573e+00,3.948850e-24,2.573287e-18
7.943282e+00,4.264167e-24,1.753308e-18
1.000000e+01,4.604637e-24,1.194598e-18
1.258925e+01,4.972163e-24,8.139207e-19
1.584893e+01,5.369016e-24,5.545365e-19
1.995262e+01,5.797462e-24,3.778125e-19
2.511886e+01,6.260070e-24,2.574043e-19
3.162278e+01,6.759538e-24,1.753688e-19
3.981072e+01,7.298845e-24,1.194770e-19
5.011872e+01,7.881060e-24,8.139814e-20
6.309573e+01,8.509633e-24,5.545445e-20
7.943282e+01,9.188285e-24,3.777924e-20
1.000000e+02,9.920973e-24,2.573734e-20
1.258925e+02,1.071199e-23,1.753353e-20
1.584893e+02,1.156592e-23,1.194451e-20
1.995262e+02,1.248782e-23,8.136896e-21
2.511886e+02,1.348302e-23,5.542968e-21
3.162278e+02,1.455737e-23,3.775868e-21
3.981072e+02,1.571699e-23,2.572059e-21
5.011872e+02,1.696866e-23,1.751991e-21
6.309573e+02,1.831955e-23,1.193351e-21
7.943282e+02,1.977756e-23,8.128061e-22
1.000000e+03,2.135098e-23,5.535870e-22
1.258925e+03,2.304874e-23,3.770187e-22
1.584893e+03,2.488047e-23,2.567523e-22
1.995262e+03,2.685655e-23,1.748384e-22
2.511886e+03,2.898799e-23,1.190481e-22
3.162278e+03,3.128670e-23,8.105310e-23
3.981072e+03,3.376522e-23,5.517846e-23
5.011872e+03,3.643701e-23,3.755911e-23
6.309573e+03,3.931639e-23,2.556222e-23
7.943282e+03,4.241850e-23,1.739437e-23
1.000000e+04,4.575888e-23,1.183410e-23
1.258925e+04,4.935596e-23,8.049427e-24
1.584893e+04,5.322588e-23,5.473722e-24
1.995262e+04,5.738712e-23,3.721104e-24
2.511886e+04,6.185980e-23,2.528763e-24
3.162278e+04,6.666313e-23,1.717830e-24
3.981072e+04,7.181656e-23,1.166418e-24
5.011872e+04,7.734011e-23,7.915958e-25
6.309573e+04,8.325252e-23,5.369000e-25
7.943282e+04,8.957298e-23,3.639064e-25
1.000000e+05,9.631083e-23,2.464575e-25
1.258925e+05,1.034809e-22,1.667669e-25
1.584893e+05,1.110603e-22,1.127251e-25
1.995262e+05,1.191005e-22,7.610572e-26
2.511886e+05,1.274981e-22,5.130884e-26
3.162278e+05,1.361970e-22,3.453211e-26
3.981072e+05,1.450587e-22,2.319149e-26
5.011872e+05,1.538729e-22,1.553136e-26
6.309573e+05,1.622832e-22,1.036108e-26
7.943282e+05,1.698188e-22,6.874741e-27
1.000000e+06,1.757946e-22,4.525825e-27
1.258925e+06,2.008007e-22,3.086973e-27
1.584893e+06,2.125449e-22,2.044319e-27
1.995262e+06,2.244019e-22,1.349043e-27
2.511886e+06,2.362540e-22,8.867739e-28
3.162278e+06,2.479585e-22,5.804112e-28
3.981072e+06,2.593574e-22,3.781185e-28
5.011872e+06,2.702755e-22,2.450853e-28
6.309573e+06,2.805101e-22,1.579796e-28
7.943282e+06,2.898552e-22,1.012248e-28
1.000000e+07,2.981041e-22,6.444377e-29
1.258925e+07,3.050121e-22,4.074726e-29
1.584893e+07,3.103829e-22,2.557350e-29
1.995262e+07,3.140215e-22,1.592574e-29
2.511886e+07,3.157398e-22,9.835373e-30
3.162278e+07,3.154280e-22,6.021975e-30
3.981072e+07,3.129497e-22,3.653216e-30
5.011872e+07,3.082604e-22,2.194975e-30
6.309573e+07,3.013749e-22,1.305791e-30
7.943282e+07,2.923538e-22,7.688975e-31
1.000000e+08,2.812643e-22,4.479390e-31
1.258925e+08,2.682409e-22,2.581133e-31
1.584893e+08,2.533796e-22,1.470532e-31
1.995262e+08,2.367204e-22,8.278729e-32
2.511886e+08,2.181434e-22,4.599931e-32
3.162278e+08,2.057318e-22,2.546572e-32
3.981072e+08,1.883928e-22,1.386846e-32
5.011872e+08,1.710858e-22,7.469208e-33
6.309573e+08,1.540936e-22,3.977923e-33
7.943282e+08,1.376796e-22,2.095521e-33
1.000000e+09,1.220840e-22,1.092792e-33
