nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.745749e-23,2.347644e-14
1.258925e+00,2.973856e-23,1.604321e-14
1.584893e+00,3.219091e-23,1.095733e-14
1.995262e+00,3.482785e-23,7.479937e-15
2.511886e+00,3.766445e-23,5.103910e-15
3.162278e+00,4.071757e-23,3.481394e-15
3.981072e+00,4.400378e-23,2.373894e-15
5.011872e+00,4.754143e-23,1.618242e-15
6.309573e+00,5.134955e-23,1.102828e-15
7.943282e+00,5.544848e-23,7.513823e-16
1.000000e+01,5.985898e-23,5.118004e-16
1.258925e+01,6.458851e-23,3.484389e-16
1.584893e+01,6.969172e-23,2.372207e-16
1.995262e+01,7.517731e-23,1.614575e-16
2.511886e+01,8.107007e-23,1.098581e-16
3.162278e+01,8.739573e-23,7.472424e-17
3.981072e+01,9.418084e-23,5.080821e-17
5.011872e+01,1.014509e-22,3.453243e-17
6.309573e+01,1.092320e-22,2.345963e-17
7.943282e+01,1.175497e-22,1.592916e-17
1.000000e+02,1.264267e-22,1.080961e-17
1.258925e+02,1.358822e-22,7.330503e-18
1.584893e+02,1.459332e-22,4.967358e-18
1.995262e+02,1.565920e-22,3.363108e-18
2.511886e+02,1.678616e-22,2.274693e-18
3.162278e+02,1.797382e-22,1.536780e-18
3.981072e+02,1.922056e-22,1.036901e-18
5.011872e+02,2.052350e-22,6.985907e-19
6.309573e+02,2.187778e-22,4.698667e-19
7.943282e+02,2.327703e-22,3.154271e-19
1.000000e+03,2.471189e-22,2.112892e-19
1.258925e+03,2.617053e-22,1.411835e-19
1.584893e+03,2.763795e-22,9.407563e-20
1.995262e+03,2.909574e-22,6.248859e-20
2.511886e+03,3.052142e-22,4.135958e-20
3.162278e+03,3.188866e-22,2.726513e-20
3.981072e+03,3.316741e-22,1.789299e-20
5.011872e+03,3.432320e-22,1.168313e-20
6.309573e+03,3.531866e-22,7.585349e-21
7.943282e+03,3.611327e-22,4.893709e-21
1.000000e+04,3.666601e-22,3.134981e-21
1.258925e+04,3.693588e-22,1.992599e-21
1.584893e+04,3.688885e-22,1.255644e-21
1.995262e+04,3.647720e-22,7.834167e-22
2.511886e+04,3.569012e-22,4.836368e-22
3.162278e+04,3.450915e-22,2.950568e-22
3.981072e+04,3.293344e-22,1.776677e-22
5.011872e+04,3.098182e-22,1.054577e-22
6.309573e+04,2.868848e-22,6.161393e-23
7.943282e+04,2.610605e-22,3.537630e-23
1.000000e+05,2.330891e-22,1.992936e-23
1.258925e+05,2.038239e-22,1.099579e-23
1.584893e+05,1.742142e-22,5.930004e-24
1.995262e+05,1.452639e-22,3.119817e-24
2.511886e+05,1.178607e-22,1.597131e-24
3.162278e+05,9.285395e-23,7.939108e-25
3.981072e+05,7.083282e-23,3.821253e-25
5.011872e+05,5.217036e-23,1.775805e-25
6.309573e+05,3.699872e-23,7.946174e-26
7.943282e+05,2.517605e-23,3.411606e-26
1.000000e+06,1.637863e-23,1.400389e-26
1.258925e+06,1.014090e-23,5.470763e-27
1.584893e+06,5.967025e-24,2.031090e-27
1.995262e+06,3.313195e-24,7.115710e-28
2.511886e+06,1.728448e-24,2.342220e-28
3.162278e+06,8.437743e-25,7.214357e-29
3.981072e+06,3.828640e-25,2.065456e-29
5.011872e+06,1.607448e-25,5.471522e-30
6.309573e+06,6.191842e-26,1.329815e-30
7.943282e+06,2.173888e-26,2.945836e-31
1.000000e+07,6.839751e-27,5.848058e-32
