nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.484311e-23,4.958302e-15
1.258925e+00,1.605173e-23,3.383218e-15
1.584893e+00,1.735440e-23,2.307904e-15
1.995262e+00,1.875870e-23,1.574022e-15
2.511886e+00,2.027282e-23,1.073303e-15
3.162278e+00,2.190563e-23,7.317518e-16
3.981072e+00,2.366658e-23,4.988197e-16
5.011872e+00,2.556582e-23,3.399912e-16
6.309573e+00,2.761429e-23,2.317085e-16
7.943282e+00,2.982367e-23,1.578953e-16
1.000000e+01,3.220657e-23,1.075852e-16
1.258925e+01,3.476012e-23,7.326379e-17
1.584893e+01,3.753082e-23,4.991098e-17
1.995262e+01,4.051837e-23,3.399852e-17
2.511886e+01,4.373922e-23,2.315683e-17
3.162278e+01,4.721066e-23,1.577060e-17
3.981072e+01,5.095190e-23,1.073911e-17
5.011872e+01,5.498202e-23,7.311875e-18
6.309573e+01,5.932230e-23,4.977670e-18
7.943282e+01,6.399480e-23,3.388073e-18
1.000000e+02,6.902256e-23,2.305680e-18
1.258925e+02,7.442924e-23,1.568742e-18
1.584893e+02,8.024015e-23,1.067087e-18
1.995262e+02,8.648057e-23,7.256490e-19
2.511886e+02,9.317767e-23,4.933100e-19
3.162278e+02,1.003560e-22,3.352366e-19
3.981072e+02,1.080426e-22,2.277210e-19
5.011872e+02,1.162618e-22,1.546127e-19
6.309573e+02,1.250367e-22,1.049169e-19
7.943282e+02,1.343884e-22,7.114918e-20
1.000000e+03,1.443344e-22,4.821454e-20
1.258925e+03,1.548862e-22,3.264531e-20
1.584893e+03,1.660499e-22,2.208242e-20
1.995262e+03,1.778221e-22,1.492086e-20
2.511886e+03,1.901892e-22,1.006918e-20
3.162278e+03,2.031230e-22,6.785270e-21
3.981072e+03,2.165824e-22,4.564900e-21
5.011872e+03,2.305023e-22,3.065372e-21
6.309573e+03,2.447953e-22,2.054051e-21
7.943282e+03,2.593476e-22,1.373062e-21
1.000000e+04,2.740171e-22,9.153470e-22
1.258925e+04,2.886198e-22,6.083229e-22
1.584893e+04,3.029429e-22,4.028737e-22
1.995262e+04,3.167284e-22,2.657633e-22
2.511886e+04,3.296783e-22,1.745414e-22
3.162278e+04,3.414577e-22,1.140630e-22
3.981072e+04,3.516958e-22,7.412680e-23
5.011872e+04,3.600000e-22,4.787520e-23
6.309573e+04,3.659486e-22,3.070635e-23
7.943282e+04,3.691329e-22,1.954298e-23
1.000000e+05,3.691639e-22,1.233182e-23
1.258925e+05,3.656912e-22,7.707661e-24
1.584893e+05,3.584529e-22,4.766945e-24
1.995262e+05,3.472960e-22,2.914123e-24
2.511886e+05,3.321713e-22,1.758613e-24
3.162278e+05,3.132457e-22,1.046389e-24
3.981072e+05,2.908324e-22,6.129865e-25
5.011872e+05,2.654405e-22,3.530005e-25
6.309573e+05,2.377584e-22,1.995005e-25
7.943282e+05,2.086661e-22,1.104740e-25
1.000000e+06,1.790336e-22,5.980571e-26
1.258925e+06,1.499187e-22,3.159831e-26
1.584893e+06,1.221936e-22,1.625011e-26
1.995262e+06,9.676200e-23,8.119194e-27
2.511886e+06,7.421582e-23,3.929204e-27
3.162278e+06,5.499187e-23,1.836989e-27
3.981072e+06,3.925059e-23,8.272832e-28
5.011872e+06,2.689895e-23,3.577201e-28
6.309573e+06,1.763363e-23,1.479619e-28
7.943282e+06,1.101680e-23,5.832616e-29
1.000000e+07,6.534110e-24,2.182702e-29
